time,FLOW,SALT,TEMP,OGM_doc,OGM_poc,OGM_don,NIT_nit,NIT_amm,OGM_pon,OGM_dop,OGM_pop,PHS_frp_ads,PHS_frp
2012-01-29 00:00:00,2.34,0,1.5,583.3333,58.33333,68.9859,689.8594,28.8697,68.9859,0.498264,0.17337032,1.2776,0.60596568
2012-01-30 00:00:00,2.29,0,1,583.3333,58.33333,68.982,689.8205,28.8844,68.982,0.5008575,0.174272725,1.28425,0.609119775
2012-01-31 00:00:00,2.72,0,1,583.3333,58.33333,60.5807,605.8072,38.6978,60.5807,0.58305,0.2028715,1.495,0.7090785
2012-02-01 00:00:00,3.93,0,1.6,583.3333,58.33333,58.0532,580.5321,42.6054,58.0532,0.615069,0.21401247,1.5771,0.74801853
2012-02-02 00:00:00,3.57,0,3.1,583.3333,58.33333,55.8809,558.8088,46.4365,55.8809,0.6456255,0.224644565,1.65545,0.785179935
2012-02-03 00:00:00,3.11,0,1,583.3333,58.33333,55.6016,556.0158,46.9783,55.6016,0.6528795,0.227168585,1.67405,0.794001915
2012-02-04 00:00:00,2.67,0,1,583.3333,58.33333,54.2845,542.845,49.596,54.2845,0.674583,0.23472029,1.7297,0.82039671
2012-02-05 00:00:00,2.52,0,1,583.3333,58.33333,52.7017,527.0167,53.0243,52.7017,0.701532,0.24409716,1.7988,0.85317084
2012-02-06 00:00:00,2.69,0,1,583.3333,58.33333,53.3175,533.1748,51.6723,53.3175,0.6964035,0.242312705,1.78565,0.846933795
2012-02-07 00:00:00,2.76,0,1.9,583.3333,58.33333,54.3682,543.6823,49.4676,54.3682,0.685269,0.23843847,1.7571,0.83339253
2012-02-08 00:00:00,2.21,0,1,583.3333,58.33333,55.5941,555.9412,47.0608,55.5941,0.672243,0.23390609,1.7237,0.81755091
2012-02-09 00:00:00,1.95,0,1,583.3333,58.33333,56.8875,568.8753,44.6999,56.8875,0.6590415,0.229312645,1.68985,0.801495855
2012-02-10 00:00:00,2.59,0,1,583.3333,58.33333,58.1768,581.7677,42.5129,58.1768,0.6465615,0.224970245,1.65785,0.786318255
2012-02-11 00:00:00,1.93,0,1.8,583.3333,58.33333,59.5334,595.3337,40.3739,59.5334,0.633906,0.22056678,1.6254,0.77092722
2012-02-12 00:00:00,2.27,0,1,583.3333,58.33333,60.9426,609.4264,38.3121,60.9426,0.621348,0.21619724,1.5932,0.75565476
2012-02-13 00:00:00,2.12,0,1,583.3333,58.33333,62.239,622.3904,36.5474,62.239,0.610701,0.21249263,1.5659,0.74270637
2012-02-14 00:00:00,2.31,0,1,583.3333,58.33333,63.0176,630.1764,35.5456,63.0176,0.6061575,0.210911725,1.55425,0.737180775
2012-02-15 00:00:00,2.46,0,2,583.3333,58.33333,62.7501,627.5013,35.893,62.7501,0.613158,0.21334754,1.5722,0.74569446
2012-02-16 00:00:00,2.43,0,2.1,583.3333,58.33333,63.7176,637.1757,34.6836,63.7176,0.606723,0.21110849,1.5557,0.73786851
2012-02-17 00:00:00,2.53,0,3.3,583.3333,58.33333,64.6911,646.9105,33.5248,64.6911,0.6005415,0.208957645,1.53985,0.730350855
2012-02-18 00:00:00,2.52,0,2.7,583.3333,58.33333,65.667,656.6701,32.4179,65.667,0.5945745,0.206881435,1.52455,0.723094065
2012-02-19 00:00:00,2.3,0,1.2,583.3333,58.33333,66.642,666.42,31.3636,66.642,0.588861,0.20489343,1.5099,0.71614557
2012-02-20 00:00:00,2.31,0,1,583.3333,58.33333,67.4126,674.1261,30.5651,67.4126,0.58539,0.2036857,1.501,0.7119243
2012-02-21 00:00:00,1.8,0,1,583.3333,58.33333,67.3084,673.0837,30.6735,67.3084,0.590616,0.20550408,1.5144,0.71827992
2012-02-22 00:00:00,3.02,0,1.8,583.3333,58.33333,68.1839,681.8392,29.7958,68.1839,0.586287,0.20399781,1.5033,0.71301519
2012-02-23 00:00:00,2.83,0,3.8,583.3333,58.33333,67.487,674.8697,30.4934,67.487,0.597519,0.20790597,1.5321,0.72667503
2012-02-24 00:00:00,1.97,0,2.6,583.3333,58.33333,66.3868,663.8676,31.6424,66.3868,0.613236,0.21337468,1.5724,0.74578932
2012-02-25 00:00:00,2.62,0,1.6,583.3333,58.33333,67.5821,675.8214,30.397,67.5821,0.6054945,0.210681035,1.55255,0.736374465
2012-02-26 00:00:00,1.8,0,1,583.3333,58.33333,65.6092,656.0919,32.4914,65.6092,0.630864,0.21950832,1.6176,0.76722768
2012-02-27 00:00:00,3.06,0,1,583.3333,58.33333,65.7665,657.6652,32.3155,65.7665,0.6339255,0.220573565,1.62545,0.770950935
2012-02-28 00:00:00,2.74,0,2.8,583.3333,58.33333,62.3053,623.0532,36.4927,62.3053,0.6791265,0.236301195,1.74135,0.825922305
